id,room_id,category,word,bot_label,liar_label,liar_game_result,bot_detected_count,bot_voter_total,final_round,created_at,ended_at,bot_commit_sha,bot_provider,bot_model
1,7324,가전제품,정수기,W,T,liarWin,3,4,1,2026-08-27T07:50:36.407176+00:00,2026-08-27T07:55:30.858+00:00,43037cc64d42114c2bc416f00c3c0eda87f4bc10,openai,openai/gpt-5.6-sol
2,2121,악기,드럼,G,F,liarWin,3,4,1,2026-08-28T07:21:16.983086+00:00,2026-08-28T07:25:53.02+00:00,43037cc64d42114c2bc416f00c3c0eda87f4bc10,openai,openai/gpt-5.6-sol
3,8044,학용품,풀,L,L,citizenWin,3,3,1,2026-08-28T07:27:35.021028+00:00,2026-08-28T07:32:23.372+00:00,43037cc64d42114c2bc416f00c3c0eda87f4bc10,anthropic,qwen3.8-max
4,5821,여행지,도쿄,V,V,citizenWin,2,4,1,2026-08-28T07:37:11.229791+00:00,2026-08-28T07:42:08.359+00:00,43037cc64d42114c2bc416f00c3c0eda87f4bc10,anthropic,qwen3.8-max
5,2369,악기,피아노,B,Y,liarWin,2,4,3,2026-08-28T07:45:51.536025+00:00,2026-08-28T07:57:11.936+00:00,43037cc64d42114c2bc416f00c3c0eda87f4bc10,openai,openai/gpt-5.6-sol
6,3804,학용품,볼펜,O,V,liarWin,2,3,1,2026-08-28T08:24:42.790859+00:00,2026-08-28T08:29:32.158+00:00,f034111e1f19b75dfed97bafb0c038f6a234854c,openai,openai/gpt-5.6-sol
7,2696,이동수단,헬리콥터,U,U,liarWin,1,3,2,2026-08-31T02:24:46.322828+00:00,2026-08-31T02:32:13.081+00:00,09a44e5f7a7f72a0d8d2afae3ba11229c544b0f1,openai,openai/gpt-5.6-sol
8,1124,학용품,볼펜,L,Y,liarWin,2,3,1,2026-08-31T02:38:35.345553+00:00,2026-08-31T02:42:47.486+00:00,09a44e5f7a7f72a0d8d2afae3ba11229c544b0f1,openai,openai/gpt-5.6-sol
9,8141,이동수단,기차,H,M,liarWin,3,3,1,2026-08-31T05:02:33.588051+00:00,2026-08-31T05:04:52.658+00:00,af1d685ffb352d8b9129c801e85967cb016f9b9b,anthropic,qwen3.8-max
10,9262,음식,피자,I,D,citizenWin,3,3,1,2026-08-31T05:30:24.25781+00:00,2026-08-31T05:33:28.509+00:00,9b20358b2dbda53658ece736702de42ea8f9b320,anthropic,qwen3.8-max
