id,category_id,text
1,1,낙타
2,1,호랑이
3,1,펭귄
4,1,캥거루
5,1,판다
6,1,기린
7,1,코끼리
8,1,사자
9,2,파스타
10,2,라면
11,2,삼겹살
12,2,떡볶이
13,2,초밥
14,2,피자
15,2,짜장면
16,2,김치찌개
17,3,참외
18,3,파인애플
19,3,복숭아
20,3,포도
21,3,수박
22,3,딸기
23,3,바나나
24,3,사과
25,4,파
26,4,마늘
27,4,고구마
28,4,브로콜리
29,4,오이
30,4,감자
31,4,양파
32,4,당근
33,5,개발자
34,5,미용사
35,5,선생님
36,5,요리사
37,5,경찰관
38,5,소방관
39,5,변호사
40,5,의사
41,6,볼링
42,6,테니스
43,6,골프
44,6,수영
45,6,배구
46,6,농구
47,6,야구
48,6,축구
49,7,헬리콥터
50,7,배
51,7,버스
52,7,오토바이
53,7,자전거
54,7,기차
55,7,비행기
56,7,자동차
57,8,선풍기
58,8,정수기
59,8,텔레비전
60,8,청소기
61,8,전자레인지
62,8,에어컨
63,8,세탁기
64,8,냉장고
65,9,부산
66,9,런던
67,9,방콕
68,9,하와이
69,9,뉴욕
70,9,도쿄
71,9,파리
72,9,제주도
73,10,자
74,10,풀
75,10,가위
76,10,노트
77,10,필통
78,10,볼펜
79,10,지우개
80,10,연필
81,11,하모니카
82,11,첼로
83,11,플루트
84,11,트럼펫
85,11,바이올린
86,11,드럼
87,11,기타
88,11,피아노
89,12,캠핑
90,12,사진찍기
91,12,그림그리기
92,12,요리
93,12,게임
94,12,낚시
95,12,등산
96,12,독서
